id,性别,民族,年龄,学历,在职离职,工作经验,服务范围,评价,金额,服务类型
1,2,0,55,2,0,2.8,0,3.3,0.26,1
2,2,0,46,2,0,9.2,0,1.31,0.22,1
4,2,0,48,3,0,1.8,1,3.6,0.61,1
6,2,0,52,3,0,6.6,0,2.48,0.26,1
8,2,0,48,4,0,6.1,0,4.8,0.26,1
9,2,0,45,4,0,7.9,0,4.86,0.38,1
15,2,0,40,3,0,2.7,2,3.9,0.49,1
18,2,0,54,2,1,4.1,3,4.04,0.22,1
19,2,0,35,0,0,8.6,4,2.0,0.23,1
20,2,0,48,0,1,4.0,5,2.49,0.12,1
21,2,0,54,0,0,2.1,4,1.08,0.32,1
23,2,0,58,0,1,7.1,3,1.65,0.26,1
24,2,0,35,0,0,0.6,5,4.41,0.14,1
25,2,0,55,0,0,5.4,7,4.38,0.22,1
27,2,0,53,0,0,8.2,7,1.91,0.18,1
28,2,0,55,0,0,1.7,3,4.45,0.17,1
30,2,0,55,3,0,3.9,7,3.03,0.24,1
32,2,0,44,3,0,5.4,7,2.41,0.24,1
34,2,0,53,2,0,4.2,2,3.94,0.28,1
35,1,0,58,2,0,7.9,2,2.0,0.28,1
37,2,0,48,0,0,7.0,4,3.52,0.18,1
38,2,0,52,2,0,6.0,0,4.92,0.3,1
39,2,0,49,2,0,6.1,2,4.32,0.26,1
40,2,0,55,2,0,1.9,0,4.91,0.26,1
42,2,0,48,2,0,9.5,7,2.53,0.28,1
46,2,1,57,2,0,2.9,2,1.06,0.28,1
47,2,0,54,2,0,9.7,7,2.03,0.28,1
48,2,0,53,3,0,8.1,7,4.35,0.24,1
49,2,0,50,3,0,9.8,7,4.54,0.24,1
50,2,0,53,2,0,0.8,2,3.33,0.26,1
52,2,0,50,2,0,7.2,7,4.06,0.24,1
54,2,0,51,2,0,9.2,7,1.25,0.28,1
58,2,0,59,2,0,2.8,2,3.94,0.28,1
60,2,0,55,3,0,2.7,2,2.49,0.28,1
61,2,0,59,2,0,5.1,7,4.6,0.24,1
62,2,0,51,2,0,2.3,7,2.73,0.28,1
63,2,0,52,2,0,4.6,7,3.1,0.24,1
64,2,0,55,2,0,9.7,7,3.33,0.24,1
65,2,0,57,0,0,3.5,7,2.0,0.14,1
66,2,0,55,0,0,3.2,7,4.04,0.14,1
67,2,0,40,3,0,7.6,2,1.16,0.28,1
68,2,0,58,0,0,8.7,4,1.5,0.24,1
69,2,2,45,3,0,8.9,2,3.96,0.28,1
70,2,0,60,2,0,4.9,4,1.18,0.22,1
71,2,0,54,2,0,8.3,0,3.29,0.22,1
73,2,0,53,3,0,7.4,7,1.03,0.24,1
74,2,0,55,3,0,4.7,7,2.78,0.24,1
75,2,0,58,2,0,5.0,2,3.77,0.28,1
76,2,0,55,2,0,5.2,7,2.48,0.28,1
77,2,0,59,2,0,7.3,7,3.95,0.28,1
78,2,0,56,2,0,8.5,2,1.44,0.24,1
79,2,0,46,3,0,9.7,2,2.46,0.28,1
80,2,0,51,2,0,4.5,2,2.18,0.28,1
81,2,0,53,2,0,2.5,2,3.03,0.26,1
82,2,0,50,3,0,4.2,7,4.3,0.24,1
83,2,0,53,2,0,8.4,7,1.63,0.28,1
84,2,0,55,2,0,8.4,2,2.4,0.28,1
85,2,0,57,2,0,1.4,7,3.33,0.24,1
86,2,0,54,2,0,3.5,7,2.26,0.24,1
87,2,0,56,2,0,3.9,7,2.32,0.24,1
94,2,0,49,3,0,1.8,2,4.72,0.28,1
95,2,0,46,3,0,8.6,1,1.13,0.26,1
96,2,0,43,3,0,5.5,2,3.82,0.26,1
97,2,0,44,3,0,0.3,2,2.36,0.18,1
98,2,0,49,2,0,1.8,2,2.07,0.2,1
99,2,0,44,3,0,4.1,1,1.14,0.45,1
100,2,0,42,2,0,1.5,0,2.35,0.14,1
101,2,0,59,0,0,0.8,3,4.63,0.26,1
102,2,0,48,4,0,7.4,2,1.23,0.46,1
103,2,0,50,0,0,10.0,3,4.77,0.14,1
104,2,0,59,0,0,3.7,3,1.66,0.24,1
105,2,0,46,2,0,5.3,2,4.16,0.28,1
106,2,0,57,0,0,2.9,3,1.4,0.46,1
107,2,0,60,0,0,6.2,10,3.21,0.26,1
108,2,0,47,0,0,1.5,3,1.81,0.3,1
109,2,0,45,2,0,1.4,7,2.87,0.28,1
110,2,0,51,0,0,3.0,3,3.76,0.26,1
111,2,0,64,0,1,2.0,3,2.34,0.22,1
113,2,0,54,0,0,1.5,3,3.06,0.42,1
114,2,0,55,2,0,0.3,7,4.44,0.24,1
115,2,0,53,2,0,9.1,7,3.54,0.24,1
116,2,0,55,3,0,9.5,2,3.89,0.28,1
117,2,0,51,2,0,0.6,2,4.41,1.0,1
118,2,0,54,0,0,3.8,10,4.67,0.26,1
119,2,0,37,3,0,4.4,2,3.7,0.3,1
120,2,0,54,0,0,6.5,3,2.44,0.44,1
121,2,0,48,3,0,0.1,8,4.36,0.29,1
122,2,0,52,0,1,4.3,3,4.08,0.32,1
124,2,0,51,0,0,1.3,3,2.59,0.12,1
125,2,0,60,0,1,5.2,3,3.69,0.17,1
126,2,0,56,0,1,8.4,3,1.19,0.25,1
127,2,0,56,0,0,8.3,4,3.7,0.24,1
128,2,0,52,0,0,5.8,3,2.58,0.26,1
129,2,0,54,0,0,6.2,5,2.49,0.14,1
130,2,0,65,0,0,8.5,3,1.18,0.22,1
131,2,0,54,0,0,3.1,5,4.08,0.32,1
132,2,0,53,0,1,3.7,3,5.0,0.28,1
133,2,0,53,0,0,6.4,10,2.88,0.14,1
134,2,0,56,0,1,5.5,3,3.24,0.22,1
135,2,0,57,0,0,6.9,3,4.92,0.22,1
137,2,0,54,0,1,2.3,3,4.46,0.22,1
138,2,0,48,0,0,4.8,5,1.72,0.2,1
139,2,0,53,0,0,9.5,3,2.3,0.14,1
140,2,0,54,0,0,1.4,10,2.45,0.22,1
142,2,0,53,0,0,3.7,10,4.61,0.22,1
144,2,0,49,0,0,5.8,10,2.55,0.26,1
145,2,0,55,0,0,2.4,3,2.17,0.26,1
146,2,0,52,0,0,6.3,10,2.99,0.22,1
147,2,0,55,0,0,0.7,3,3.67,0.26,1
148,2,0,44,0,0,9.9,10,4.36,0.26,1
149,2,0,57,0,0,9.7,0,3.31,0.23,1
151,2,0,57,0,0,2.0,3,1.97,0.22,1
152,2,0,48,2,0,6.9,2,3.73,0.24,1
153,2,0,50,2,0,3.7,2,2.9,0.43,1
154,2,0,47,2,0,3.2,2,1.31,0.44,1
155,2,0,53,2,0,2.6,2,1.45,0.25,1
156,2,0,49,2,0,7.4,2,4.36,0.3,1
159,2,0,32,2,0,7.4,2,1.55,0.44,1
160,2,0,45,2,0,1.4,2,2.5,0.46,1
161,2,0,46,2,0,3.4,2,1.23,0.2,1
162,2,0,46,2,0,9.5,2,2.47,0.22,1
163,2,0,49,2,0,6.8,1,4.51,0.14,1
164,2,0,52,3,0,9.2,2,3.21,0.2,1
165,2,0,54,4,0,1.8,2,3.28,0.42,1
167,2,0,51,0,0,4.8,6,3.23,0.34,1
169,2,0,49,2,0,4.1,0,3.17,0.49,1
170,2,0,44,3,0,8.2,1,1.21,0.34,1
171,2,0,52,2,0,4.6,2,4.9,0.26,1
